Datetime	Eg_front 	Eg_rear	T1	T2	T3	T4	T5
2026-05-18_11-17-03	667,98	63,91					
2026-05-18_11-17-09	672,44	64,12					
2026-05-18_11-17-15	674,58	64,44					
2026-05-18_11-17-21	673,08	64,21					
2026-05-18_11-17-45	672,32	64,08					
2026-05-18_11-18-09	691,40	65,46					
2026-05-18_11-18-45	681,39	64,61					
2026-05-18_11-19-21	681,85	64,47					
2026-05-18_11-19-57	678,61	63,99					
2026-05-18_11-20-33	694,92	65,15					
2026-05-18_11-21-09	695,15	65,03					
2026-05-18_11-22-22	703,20	65,36					
2026-05-18_11-23-52	703,20	64,87					
2026-05-18_11-24-52	704,34	64,71					
2026-05-18_11-25-52	710,56	65,03					
2026-05-18_11-26-52	715,73	65,30					
2026-05-18_11-27-52	725,99	65,84					
2026-05-18_11-28-52	730,56	65,96					
2026-05-18_11-29-52	739,04	66,56					
2026-05-18_11-30-52	739,68	66,68					
2026-05-18_11-31-52	724,59	65,23					
2026-05-18_11-32-52	744,50	66,64					
2026-05-18_11-33-52	752,75	67,31					
2026-05-18_11-34-52	758,44	67,72					
2026-05-18_11-35-52	762,15	68,02					
2026-05-18_11-36-52	757,85	67,54					
2026-05-18_11-37-52	766,75	68,03					
2026-05-18_11-38-52	766,53	67,74					
2026-05-18_11-39-52	766,55	67,57					
2026-05-18_11-40-52	770,61	67,58					
2026-05-18_11-41-52	764,47	67,01					
2026-05-18_11-42-52	749,19	65,61					
2026-05-18_11-43-52	746,18	65,31					
2026-05-18_11-44-52	751,94	65,82					
2026-05-18_11-45-52	757,36	66,38					
2026-05-18_11-46-52	732,66	64,79					
2026-05-18_11-47-52	648,71	58,07					
2026-05-18_11-48-52	676,43	60,07					
2026-05-18_11-49-52	713,20	63,03					
2026-05-18_11-50-52	720,96	63,79					
2026-05-18_11-51-52	714,50	63,18					
2026-05-18_11-52-52	750,74	66,09					
2026-05-18_11-53-52	767,30	67,62					
2026-05-18_11-54-52	767,39	67,69					
