ts_utc	device_name	socket_id	power_w	current_a	voltage_v	frequency_hz
2026-07-02 13:12:56	ps2	0	0	0	222.2	50.02
2026-07-02 13:12:56	ps2	1	0	0	222.2	50.02
2026-07-02 13:12:56	ps2	2	0	0	220.8	50.02
2026-07-02 13:12:56	ps2	3	297.3	1.372	220.8	50.02
2026-07-02 13:12:58	ps1	0	0	0	221.3	50.01
2026-07-02 13:12:58	ps1	1	0	0	221.3	50.01
2026-07-02 13:12:58	ps1	2	0	0	221.4	50.01
2026-07-02 13:12:58	ps1	3	0	0	221.4	50.01
2026-07-02 13:12:59	ps3	0	0	0	221.2	50.02
2026-07-02 13:12:59	ps3	1	0	0	221.3	50.02
2026-07-02 13:12:59	ps3	2	0	0	220.1	50.01
2026-07-02 13:12:59	ps3	3	0	0	220.1	50.01
2026-07-02 13:14:00	ps2	0	0	0	222.4	50.02
2026-07-02 13:14:00	ps2	1	0	0	222.4	50.02
2026-07-02 13:14:00	ps2	2	0	0	221	50.02
2026-07-02 13:14:00	ps2	3	297.8	1.373	221	50.02
2026-07-02 13:14:02	ps1	0	0	0	221.4	50.01
2026-07-02 13:14:02	ps1	1	0	0	221.4	50.01
2026-07-02 13:14:02	ps1	2	0	0	221.5	50.01
2026-07-02 13:14:02	ps1	3	0	0	221.5	50.01
2026-07-02 13:14:03	ps3	0	0	0	221.3	50.01
2026-07-02 13:14:03	ps3	1	0	0	221.4	50.01
2026-07-02 13:14:03	ps3	2	0	0	220.2	50.02
2026-07-02 13:14:03	ps3	3	0	0	220.2	50.02
2026-07-08 13:26:00	ps2	0	0	0	222.7	49.7
2026-07-08 13:26:00	ps2	1	0	0	222.7	49.7
2026-07-08 13:26:00	ps2	2	0	0	221.2	49.7
2026-07-08 13:26:00	ps2	3	0	0	221.3	49.7
2026-07-08 13:26:02	ps1	0	0	0	221.6	49.71
2026-07-08 13:26:02	ps1	1	151.5	0.699	221.6	49.71
2026-07-08 13:26:02	ps1	2	0	0	221.6	49.7
2026-07-08 13:26:02	ps1	3	0	0	221.6	49.7
2026-07-08 13:26:03	ps3	0	0	0	221.5	49.7
2026-07-08 13:26:03	ps3	1	0	0	221.5	49.7
2026-07-08 13:26:03	ps3	2	0	0	220.3	49.7
2026-07-08 13:26:03	ps3	3	195.4	0.9	220.4	49.7
2026-07-08 13:27:04	ps2	0	0	0	224.3	49.71
2026-07-08 13:27:04	ps2	1	0	0	224.3	49.71
2026-07-08 13:27:04	ps2	2	0	0	222.8	49.71
2026-07-08 13:27:04	ps2	3	0	0	222.9	49.71
2026-07-08 13:27:06	ps1	0	0	0	223.2	49.71
2026-07-08 13:27:06	ps1	1	152	0.696	223.2	49.71
2026-07-08 13:27:06	ps1	2	0	0	223.2	49.71
2026-07-08 13:27:06	ps1	3	0	0	223.3	49.71
2026-07-08 13:27:07	ps3	0	0	0	223.2	49.71
2026-07-08 13:27:07	ps3	1	0	0	223.2	49.71
2026-07-08 13:27:07	ps3	2	0	0	222	49.71
2026-07-08 13:27:07	ps3	3	0	0	222	49.71
2026-07-08 13:28:08	ps2	0	0	0	223.5	49.72
2026-07-08 13:28:08	ps2	1	0	0	223.6	49.72
2026-07-08 13:28:08	ps2	2	0	0	222.2	49.72
2026-07-08 13:28:08	ps2	3	0	0	222.2	49.72
2026-07-08 13:28:10	ps1	0	0	0	222.8	49.71
2026-07-08 13:28:10	ps1	1	151.8	0.696	222.9	49.71
2026-07-08 13:28:10	ps1	2	0	0	222.9	49.72
2026-07-08 13:28:10	ps1	3	0	0	222.9	49.72
2026-07-08 13:28:11	ps3	0	0	0	222.4	49.72
2026-07-08 13:28:11	ps3	1	0	0	222.4	49.72
2026-07-08 13:28:11	ps3	2	0	0	221.3	49.72
2026-07-08 13:28:11	ps3	3	0	0	221.4	49.72
2026-07-08 13:29:12	ps2	0	0	0	223.8	49.73
2026-07-08 13:29:12	ps2	1	0	0	223.8	49.73
2026-07-08 13:29:12	ps2	2	0	0	222.4	49.73
2026-07-08 13:29:12	ps2	3	0	0	222.4	49.73
2026-07-08 13:29:14	ps1	0	0	0	222.7	49.73
2026-07-08 13:29:14	ps1	1	151.9	0.697	222.7	49.73
2026-07-08 13:29:14	ps1	2	0	0	222.7	49.72
2026-07-08 13:29:14	ps1	3	0	0	222.8	49.72
2026-07-08 13:29:15	ps3	0	0	0	222.7	49.73
2026-07-08 13:29:15	ps3	1	0	0	222.7	49.73
2026-07-08 13:29:15	ps3	2	0	0	221.5	49.72
2026-07-08 13:29:15	ps3	3	0	0	221.6	49.72
2026-07-08 13:30:16	ps2	0	0	0	224.1	49.73
2026-07-08 13:30:16	ps2	1	0	0	224.1	49.73
2026-07-08 13:30:16	ps2	2	0	0	222.6	49.74
2026-07-08 13:30:16	ps2	3	0	0	222.7	49.74
2026-07-08 13:30:18	ps1	0	149.3	0.674	223	49.74
2026-07-08 13:30:18	ps1	1	0	0	223	49.74
2026-07-08 13:30:18	ps1	2	0	0	223	49.73
2026-07-08 13:30:18	ps1	3	0	0	223.1	49.73
2026-07-08 13:30:21	ps3	0	0	0	222.9	49.73
2026-07-08 13:30:21	ps3	1	0	0	223	49.73
