ts	total_power_w
2026-08-25 11:39:06	960.5
2026-08-25 11:40:14	960
2026-08-25 11:41:18	959
2026-08-25 11:42:21	961.5
2026-08-25 11:43:25	959.9
2026-08-25 11:44:31	957.8
2026-08-25 11:45:35	957.7
2026-08-25 11:46:41	956.7
2026-08-25 11:47:45	1206.8
2026-08-25 11:48:51	959.6
2026-08-25 11:49:55	958.5
2026-08-25 11:50:59	955.1
2026-08-25 11:52:03	1432.3
2026-08-25 11:53:07	1326.7
2026-08-25 11:54:13	1498.2
2026-08-25 11:55:17	1330.1
2026-08-25 11:56:23	1328.8
2026-08-25 11:57:27	456.1
2026-08-25 11:58:31	1334.3
2026-08-25 11:59:37	457.1
2026-08-25 12:00:40	1334.2
2026-08-25 12:01:44	1329.9
2026-08-25 12:02:48	1329.2
2026-08-25 12:03:56	1335.6
2026-08-25 12:05:02	1332.4
2026-08-25 12:06:06	1333.5
2026-08-25 12:07:10	1333.4
2026-08-25 12:08:18	1330.1
2026-08-25 12:09:24	1332.3
2026-08-25 12:10:28	1326.1
2026-08-25 12:11:32	1327.6
2026-08-25 12:12:36	1327.7
