ts	total_power_w
2026-09-02 11:00:06	0
2026-09-02 11:01:00	0
2026-09-02 11:02:04	1541.4
2026-09-02 11:03:10	1861.3
2026-09-02 11:04:16	1864.8
2026-09-02 11:05:20	1866.1
2026-09-02 11:06:26	1864.8
2026-09-02 11:07:30	1863.9
2026-09-02 11:08:34	1861.7
2026-09-02 11:09:42	1858.3
2026-09-02 11:10:46	1856
2026-09-02 11:11:54	1851.1
2026-09-02 11:12:58	1847
2026-09-02 11:14:04	1844.7
2026-09-02 11:15:08	1846.7
2026-09-02 11:16:12	1845.8
2026-09-02 11:17:18	1842.4
2026-09-02 11:18:22	1842.6
2026-09-02 11:19:28	1838
2026-09-02 11:20:32	1837.4
2026-09-02 11:21:41	1833.7
2026-09-02 11:22:44	1834.6
2026-09-02 11:23:53	1833.6
2026-09-02 11:24:57	1833.2
2026-09-02 11:26:05	1832
2026-09-02 11:27:09	1832.5
2026-09-02 11:28:17	1830.6
2026-09-02 11:29:21	1832.6
2026-09-02 11:30:29	1834.8
2026-09-02 11:31:33	1835.5
2026-09-02 11:32:41	1835.3
2026-09-02 11:33:45	1832.8
2026-09-02 11:34:53	1835.8
2026-09-02 11:35:59	1840.1
2026-09-02 11:37:05	1841.7
2026-09-02 11:38:11	1839.4
2026-09-02 11:39:15	1843.1
2026-09-02 11:40:19	1842.9
2026-09-02 11:41:27	1841
2026-09-02 11:42:31	1839.1
2026-09-02 11:43:37	1836.8
2026-09-02 11:44:41	1835.2
