Steca Elektronik GmbH;MPPT6000;760749IH008963540005
Date;Time;SOC[%];Kaptest[Ah];Vbat[V];Ibat_M[A];Vbat.sense[V];VPV1_M[V];VPV2_M[V];PVpower_M[W];PV1power_M[W];PV2power_M[W];Ophours[h];Ibat_total[A]SOC;Icharge_total[A];Iload_total[A];BatPower_total[W];BatTemp[°C];ChargeMode;ErrorState;ErrorNr;StateAux1;StateAux2;StateAux3;IntTemp1[°C];IntTemp2[°C];Derating;Ah_in_24h_M[Ah];Ah_in_total_M[Ah];Ah_in_24h_SYS[Ah];Ah_in_total_SYS[Ah];Ah_out_24h_SYS[Ah];Ah_out_total_SYS[Ah];Day_night;Status_AUXIO
2026/03/23;00:00:46;3;-; 47.03; 0.0;-; 5.9; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-7; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:01:46;3;-; 47.03; 0.0;-; 5.8; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:02:46;3;-; 47.01; 0.0;-; 5.8; 5.5; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:03:46;3;-; 47.03; 0.0;-; 5.9; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:04:46;3;-; 47.03; 0.0;-; 5.9; 5.7; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:05:46;3;-; 47.01; 0.0;-; 5.8; 5.7; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:06:45;3;-; 47.03; 0.0;-; 5.8; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:07:45;3;-; 47.03; 0.0;-; 5.8; 5.7; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:08:45;3;-; 47.03; 0.0;-; 5.7; 5.5; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:09:45;3;-; 47.03; 0.0;-; 5.8; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:10:45;3;-; 47.03; 0.0;-; 5.8; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:11:45;2;-; 47.03; 0.0;-; 5.8; 5.5; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:12:45;2;-; 47.03; 0.0;-; 5.8; 5.8; 0.0;-;-;1208;-0.2; 0.0; 0.0;-7; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
2026/03/23;00:13:45;2;-; 47.03; 0.0;-; 5.8; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.6;0;0;429;0;429;0;243;1;-
2026/03/23;00:14:45;2;-; 47.03; 0.0;-; 5.8; 5.6; 0.0;-;-;1208;-0.2; 0.0; 0.0;-8; 21.9;OFF;1;29;Off;Off;Off; 21.9; 21.7;0;0;429;0;429;0;243;1;-
