40;HS400;753468-00011610-1527
Date;Time;I_integral;Position;SOC_relevant;Number_of_turns;Reading_inverted
2026/03/23;00:00:46;-0.2;1;1;1;0
2026/03/23;00:01:46;-0.2;1;1;1;0
2026/03/23;00:02:46;-0.2;1;1;1;0
2026/03/23;00:03:46;-0.2;1;1;1;0
2026/03/23;00:04:46;-0.2;1;1;1;0
2026/03/23;00:05:46;-0.2;1;1;1;0
2026/03/23;00:06:45;-0.2;1;1;1;0
2026/03/23;00:07:45;-0.2;1;1;1;0
2026/03/23;00:08:45;-0.2;1;1;1;0
2026/03/23;00:09:45;-0.2;1;1;1;0
2026/03/23;00:10:45;-0.2;1;1;1;0
2026/03/23;00:11:45;-0.2;1;1;1;0
2026/03/23;00:12:45;-0.2;1;1;1;0
2026/03/23;00:13:45;-0.2;1;1;1;0
2026/03/23;00:14:45;-0.2;1;1;1;0
2026/03/23;00:15:45;-0.2;1;1;1;0
2026/03/23;00:16:45;-0.2;1;1;1;0
2026/03/23;00:17:45;-0.2;1;1;1;0
2026/03/23;00:18:45;-0.2;1;1;1;0
2026/03/23;00:19:45;-0.2;1;1;1;0
2026/03/23;00:20:45;-0.2;1;1;1;0
2026/03/23;00:21:45;-0.2;1;1;1;0
2026/03/23;00:22:44;-0.2;1;1;1;0
2026/03/23;00:23:44;-0.2;1;1;1;0
2026/03/23;00:24:44;-0.2;1;1;1;0
2026/03/23;00:25:44;-0.2;1;1;1;0
2026/03/23;00:26:44;-0.2;1;1;1;0
2026/03/23;00:27:44;-0.2;1;1;1;0
2026/03/23;00:28:44;-0.2;1;1;1;0
2026/03/23;00:29:44;-0.2;1;1;1;0
2026/03/23;00:30:44;-0.2;1;1;1;0
2026/03/23;00:31:44;-0.2;1;1;1;0
2026/03/23;00:32:44;-0.2;1;1;1;0
2026/03/23;00:33:44;-0.2;1;1;1;0
2026/03/23;00:34:44;-0.2;1;1;1;0
2026/03/23;00:35:44;-0.2;1;1;1;0
2026/03/23;00:36:44;-0.2;1;1;1;0
2026/03/23;00:37:44;-0.2;1;1;1;0
2026/03/23;00:38:44;-0.2;1;1;1;0
2026/03/23;00:39:43;-0.2;1;1;1;0
2026/03/23;00:40:43;-0.2;1;1;1;0
2026/03/23;00:41:43;-0.2;1;1;1;0
2026/03/23;00:42:43;-0.2;1;1;1;0
2026/03/23;00:43:43;-0.2;1;1;1;0
2026/03/23;00:44:43;-0.2;1;1;1;0
2026/03/23;00:45:43;-0.2;1;1;1;0
2026/03/23;00:46:43;-0.2;1;1;1;0
2026/03/23;00:47:43;-0.2;1;1;1;0
2026/03/23;00:48:43;-0.2;1;1;1;0
2026/03/23;00:49:43;-0.2;1;1;1;0
2026/03/23;00:50:43;-0.2;1;1;1;0
2026/03/23;00:51:43;-0.2;1;1;1;0
2026/03/23;00:52:43;-0.2;1;1;1;0
2026/03/23;00:53:43;-0.2;1;1;1;0
2026/03/23;00:54:43;-0.2;1;1;1;0
2026/03/23;00:55:42;-0.2;1;1;1;0
2026/03/23;00:56:42;-0.2;1;1;1;0
2026/03/23;00:57:42;-0.2;1;1;1;0
2026/03/23;00:58:42;-0.2;1;1;1;0
2026/03/23;00:59:42;-0.2;1;1;1;0
2026/03/23;01:00:42;-0.2;1;1;1;0
2026/03/23;01:01:42;-0.2;1;1;1;0
2026/03/23;01:02:42;-0.2;1;1;1;0
2026/03/23;01:03:42;-0.2;1;1;1;0
2026/03/23;01:04:42;-0.2;1;1;1;0
2026/03/23;01:05:42;-0.2;1;1;1;0
2026/03/23;01:06:42;-0.2;1;1;1;0
2026/03/23;01:07:42;-0.2;1;1;1;0
2026/03/23;01:08:42;-0.2;1;1;1;0
2026/03/23;01:09:42;-0.2;1;1;1;0
2026/03/23;01:10:42;-0.2;1;1;1;0
2026/03/23;01:11:41;-0.2;1;1;1;0
2026/03/23;01:12:41;-0.2;1;1;1;0
2026/03/23;01:13:41;-0.2;1;1;1;0
2026/03/23;01:14:41;-0.2;1;1;1;0
2026/03/23;01:15:41;-0.2;1;1;1;0
2026/03/23;01:16:41;-0.2;1;1;1;0
2026/03/23;01:17:41;-0.2;1;1;1;0
2026/03/23;01:18:41;-0.2;1;1;1;0
2026/03/23;01:19:41;-0.2;1;1;1;0
2026/03/23;01:20:41;-0.2;1;1;1;0
2026/03/23;01:21:41;-0.2;1;1;1;0
2026/03/23;01:22:41;-0.2;1;1;1;0
2026/03/23;01:23:41;-0.2;1;1;1;0
2026/03/23;01:24:41;-0.2;1;1;1;0
2026/03/23;01:25:41;-0.2;1;1;1;0
2026/03/23;01:26:41;-0.2;1;1;1;0
2026/03/23;01:27:41;-0.2;1;1;1;0
2026/03/23;01:28:40;-0.2;1;1;1;0
2026/03/23;01:29:40;-0.2;1;1;1;0
2026/03/23;01:30:40;-0.2;1;1;1;0
2026/03/23;01:31:40;-0.2;1;1;1;0
2026/03/23;01:32:40;-0.2;1;1;1;0
2026/03/23;01:33:40;-0.2;1;1;1;0
2026/03/23;01:34:40;-0.2;1;1;1;0
2026/03/23;01:35:40;-0.2;1;1;1;0
2026/03/23;01:36:40;-0.2;1;1;1;0
2026/03/23;01:37:40;-0.2;1;1;1;0
2026/03/23;01:38:40;-0.2;1;1;1;0
2026/03/23;01:39:40;-0.2;1;1;1;0
2026/03/23;01:40:40;-0.2;1;1;1;0
2026/03/23;01:41:40;-0.2;1;1;1;0
2026/03/23;01:42:40;-0.2;1;1;1;0
2026/03/23;01:43:40;-0.2;1;1;1;0
2026/03/23;01:44:39;-0.2;1;1;1;0
2026/03/23;01:45:39;-0.2;1;1;1;0
2026/03/23;01:46:39;-0.2;1;1;1;0
2026/03/23;01:47:39;-0.2;1;1;1;0
2026/03/23;01:48:39;-0.2;1;1;1;0
2026/03/23;01:49:39;-0.2;1;1;1;0
2026/03/23;01:50:39;-0.2;1;1;1;0
2026/03/23;01:51:39;-0.2;1;1;1;0
2026/03/23;01:52:39;-0.2;1;1;1;0
2026/03/23;01:53:39;-0.2;1;1;1;0
2026/03/23;01:54:39;-0.2;1;1;1;0
