40;HS400;753468-00011610-1527
Date;Time;I_integral;Position;SOC_relevant;Number_of_turns;Reading_inverted
2026/03/22;00:00:15;-0.2;1;1;1;0
2026/03/22;00:01:15;-0.2;1;1;1;0
2026/03/22;00:02:15;-0.2;1;1;1;0
2026/03/22;00:03:15;-0.2;1;1;1;0
2026/03/22;00:04:15;-0.2;1;1;1;0
2026/03/22;00:05:15;-0.2;1;1;1;0
2026/03/22;00:06:15;-0.2;1;1;1;0
2026/03/22;00:07:15;-0.2;1;1;1;0
2026/03/22;00:08:15;-0.2;1;1;1;0
2026/03/22;00:09:15;-0.2;1;1;1;0
2026/03/22;00:10:14;-0.2;1;1;1;0
2026/03/22;00:11:14;-0.2;1;1;1;0
2026/03/22;00:12:14;-0.2;1;1;1;0
2026/03/22;00:13:14;-0.2;1;1;1;0
2026/03/22;00:14:14;-0.2;1;1;1;0
2026/03/22;00:15:14;-0.2;1;1;1;0
2026/03/22;00:16:14;-0.2;1;1;1;0
2026/03/22;00:17:14;-0.2;1;1;1;0
2026/03/22;00:18:14;-0.2;1;1;1;0
2026/03/22;00:19:14;-0.2;1;1;1;0
2026/03/22;00:20:14;-0.2;1;1;1;0
2026/03/22;00:21:14;-0.2;1;1;1;0
2026/03/22;00:22:14;-0.2;1;1;1;0
2026/03/22;00:23:14;-0.2;1;1;1;0
2026/03/22;00:24:14;-0.2;1;1;1;0
2026/03/22;00:25:14;-0.2;1;1;1;0
2026/03/22;00:26:13;-0.2;1;1;1;0
2026/03/22;00:27:13;-0.2;1;1;1;0
2026/03/22;00:28:13;-0.2;1;1;1;0
2026/03/22;00:29:13;-0.2;1;1;1;0
2026/03/22;00:30:13;-0.2;1;1;1;0
2026/03/22;00:31:13;-0.2;1;1;1;0
2026/03/22;00:32:13;-0.2;1;1;1;0
2026/03/22;00:33:13;-0.2;1;1;1;0
2026/03/22;00:34:13;-0.2;1;1;1;0
2026/03/22;00:35:13;-0.2;1;1;1;0
2026/03/22;00:36:13;-0.2;1;1;1;0
2026/03/22;00:37:13;-0.2;1;1;1;0
2026/03/22;00:38:13;-0.2;1;1;1;0
2026/03/22;00:39:13;-0.2;1;1;1;0
2026/03/22;00:40:13;-0.2;1;1;1;0
2026/03/22;00:41:13;-0.2;1;1;1;0
2026/03/22;00:42:12;-0.2;1;1;1;0
2026/03/22;00:43:12;-0.2;1;1;1;0
2026/03/22;00:44:12;-0.2;1;1;1;0
2026/03/22;00:45:12;-0.2;1;1;1;0
2026/03/22;00:46:12;-0.2;1;1;1;0
2026/03/22;00:47:12;-0.2;1;1;1;0
2026/03/22;00:48:12;-0.2;1;1;1;0
2026/03/22;00:49:12;-0.2;1;1;1;0
2026/03/22;00:50:12;-0.2;1;1;1;0
2026/03/22;00:51:12;-0.2;1;1;1;0
2026/03/22;00:52:12;-0.2;1;1;1;0
