Steca Elektronik GmbH;MPPT6000;760749IH008963540005
Date;Time;SOC[%];Kaptest[Ah];Vbat[V];Ibat_M[A];Vbat.sense[V];VPV1_M[V];VPV2_M[V];PVpower_M[W];PV1power_M[W];PV2power_M[W];Ophours[h];Ibat_total[A]SOC;Icharge_total[A];Iload_total[A];BatPower_total[W];BatTemp[°C];ChargeMode;ErrorState;ErrorNr;StateAux1;StateAux2;StateAux3;IntTemp1[°C];IntTemp2[°C];Derating;Ah_in_24h_M[Ah];Ah_in_total_M[Ah];Ah_in_24h_SYS[Ah];Ah_in_total_SYS[Ah];Ah_out_24h_SYS[Ah];Ah_out_total_SYS[Ah];Day_night;Status_AUXIO
2026/03/26;00:00:53;97;-; 52.51; 0.0;-; 11.2; 10.2; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.1; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:01:52;97;-; 52.51; 0.0;-; 11.1; 10.2; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:02:52;97;-; 52.51; 0.0;-; 11.2; 10.3; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:03:52;96;-; 52.51; 0.0;-; 11.1; 10.3; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:04:52;96;-; 52.51; 0.0;-; 11.1; 10.0; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:05:52;96;-; 52.51; 0.0;-; 11.0; 10.2; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:06:52;96;-; 52.51; 0.0;-; 10.8; 10.1; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:07:52;96;-; 52.51; 0.0;-; 10.8; 10.0; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:08:52;96;-; 52.51; 0.0;-; 10.7; 9.8; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:09:52;96;-; 52.49; 0.0;-; 10.6; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:10:52;96;-; 52.51; 0.0;-; 10.6; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.1; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:11:52;96;-; 52.51; 0.0;-; 10.6; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.1; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:12:52;96;-; 52.51; 0.0;-; 10.5; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:13:52;96;-; 52.51; 0.0;-; 10.6; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:14:52;96;-; 52.49; 0.0;-; 10.5; 9.8; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:15:52;96;-; 52.49; 0.0;-; 10.5; 9.8; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.1; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:16:52;96;-; 52.49; 0.0;-; 10.5; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.1; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:17:51;96;-; 52.49; 0.0;-; 10.5; 9.5; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:18:51;96;-; 52.49; 0.0;-; 10.5; 9.6; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:19:51;96;-; 52.47; 0.0;-; 10.5; 9.6; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:20:51;96;-; 52.49; 0.0;-; 10.5; 9.6; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:21:51;96;-; 52.49; 0.0;-; 10.5; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:22:51;96;-; 52.49; 0.0;-; 10.6; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:23:51;96;-; 52.49; 0.0;-; 10.6; 9.7; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:24:51;96;-; 52.49; 0.0;-; 10.5; 9.6; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:25:51;96;-; 52.47; 0.0;-; 10.5; 9.6; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:26:51;96;-; 52.49; 0.0;-; 10.4; 9.6; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:27:51;96;-; 52.47; 0.0;-; 10.2; 9.3; 0.0;-;-;1280;-0.2; 0.0; 0.0;-12; 21.9;F;1;29;On;On;Off; 22.2; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:28:51;96;-; 52.49; 0.0;-; 10.1; 9.2; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.1; 21.9;0;0;588;0;588;0;403;0;-
2026/03/26;00:29:51;96;-; 52.49; 0.0;-; 9.9; 9.2; 0.0;-;-;1280;-0.2; 0.0; 0.0;-11; 21.9;F;1;29;On;On;Off; 22.1; 21.9;0;0;588;0;588;0;403;0;-
