Steca Elektronik GmbH;MPPT6000;760749IH008963540005
Date;Time;SOC[%];Kaptest[Ah];Vbat[V];Ibat_M[A];Vbat.sense[V];VPV1_M[V];VPV2_M[V];PVpower_M[W];PV1power_M[W];PV2power_M[W];Ophours[h];Ibat_total[A]SOC;Icharge_total[A];Iload_total[A];BatPower_total[W];BatTemp[°C];ChargeMode;ErrorState;ErrorNr;StateAux1;StateAux2;StateAux3;IntTemp1[°C];IntTemp2[°C];Derating;Ah_in_24h_M[Ah];Ah_in_total_M[Ah];Ah_in_24h_SYS[Ah];Ah_in_total_SYS[Ah];Ah_out_24h_SYS[Ah];Ah_out_total_SYS[Ah];Day_night;Status_AUXIO
2026/05/09;00:00:54;-;-; 52.33; 0.0;-; 8.0; 10.4; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.8; 23.5;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:01:54;-;-; 52.33; 0.0;-; 7.9; 10.3; 0.0;-;-;2336;-0.1; 0.0; 0.0;-4; 24.0;B;0;-;On;On;Off; 23.8; 23.5;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:02:54;-;-; 52.33; 0.0;-; 7.8; 10.4; 0.0;-;-;2336;-0.1; 0.0; 0.0;-4; 24.0;B;0;-;On;On;Off; 23.8; 23.5;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:03:54;-;-; 52.33; 0.0;-; 7.8; 10.4; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.8; 23.5;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:04:54;-;-; 52.33; 0.0;-; 7.8; 10.4; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.8; 23.5;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:05:54;-;-; 52.31; 0.0;-; 7.8; 10.3; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.7; 23.5;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:06:54;-;-; 52.31; 0.0;-; 7.8; 10.3; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.7; 23.5;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:07:54;-;-; 52.31; 0.0;-; 7.8; 10.3; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.8; 23.4;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:08:54;-;-; 52.31; 0.0;-; 7.7; 10.3; 0.0;-;-;2336;-0.1; 0.0; 0.0;-4; 24.0;B;0;-;On;On;Off; 23.7; 23.4;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:09:54;-;-; 52.33; 0.0;-; 7.7; 10.3; 0.0;-;-;2336;-0.1; 0.0; 0.0;-4; 24.0;B;0;-;On;On;Off; 23.7; 23.4;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:10:54;-;-; 52.33; 0.0;-; 7.6; 10.3; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 23.9;B;0;-;On;On;Off; 23.7; 23.4;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:11:54;-;-; 52.33; 0.0;-; 7.7; 10.2; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.7; 23.4;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:12:54;-;-; 52.31; 0.0;-; 7.7; 10.2; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.7; 23.4;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:13:54;-;-; 52.31; 0.0;-; 7.6; 10.1; 0.0;-;-;2336;-0.1; 0.0; 0.0;-3; 24.0;B;0;-;On;On;Off; 23.7; 23.4;0;0;1982;0;1982;0;1797;0;-
2026/05/09;00:14:54;-;-; 52.31; 0.0;-; 7.5; 10.1; 0.0;-;-;2336;-0.1; 0.0; 0.0;-2; 24.0;B;0;-;On;On;Off; 23.7; 23.4;0;0;1982;0;1982;0;1797;0;-
