device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/08/27	11:59	52.3	69.0	68.1	#	#	49.8	9.8	10.2	#	24.3	#	24.3	23.7	0	B	1	1	0	49	4006	49	3820	0	21E9	676.2	694.62	1370.82
1	2026/08/27	12:00	52.7	68.8	68.6	#	#	47.1	10.0	9.7	#	22.8	#	22.8	23.7	0	B	1	1	0	50	4007	50	3821	0	C7A6	688	665.42	1353.42
1	2026/08/27	12:01	52.7	70.0	68.7	#	#	40.6	8.7	9.6	#	19.8	#	19.8	23.7	0	B	1	1	0	50	4007	50	3821	0	27FF	609	659.52	1268.52
1	2026/08/27	12:02	52.8	69.1	68.9	#	#	39.0	10.0	8.9	#	19.0	#	19.0	23.7	0	B	1	1	0	50	4007	50	3821	0	13D5	691	613.21	1304.21
1	2026/08/27	12:03	52.9	69.2	68.9	#	#	39.1	9.7	9.4	#	19.1	#	19.1	23.8	0	B	1	1	0	51	4008	51	3822	0	6D3A	671.24	647.66	1318.9
1	2026/08/27	12:04	52.9	69.1	68.7	#	#	38.8	9.5	9.3	#	19.0	#	19.0	23.8	0	B	1	1	0	51	4008	51	3822	0	D7C6	656.45	638.91	1295.36
1	2026/08/27	12:05	52.9	69.1	68.8	#	#	38.0	9.4	9.1	#	18.5	#	18.5	23.7	0	B	1	1	0	51	4008	51	3822	0	601D	649.54	626.08	1275.62
1	2026/08/27	12:06	53.0	69.3	68.9	#	#	37.5	9.4	9.0	#	18.3	#	18.3	23.8	0	B	1	1	0	52	4009	52	3823	0	39E1	651.42	620.1	1271.52
1	2026/08/27	12:07	53.0	69.3	69.0	#	#	37.2	9.4	9.0	#	18.1	#	18.1	23.8	0	B	1	1	0	52	4009	52	3823	0	2B1C	651.42	621	1272.42
1	2026/08/27	12:08	53.0	69.2	69.1	#	#	37.2	9.4	9.0	#	18.2	#	18.2	23.8	0	B	1	1	0	52	4009	52	3823	0	59CB	650.48	621.9	1272.38
1	2026/08/27	12:09	53.0	69.3	69.0	#	#	37.2	9.2	8.9	#	18.2	#	18.2	23.8	0	B	1	1	0	53	4010	53	3824	0	A4D7	637.56	614.1	1251.66
